Question Bank,,,,,,,,,,,,,,,,,,,,,,,,,
Source: approved methodology framework and methodology implementation workbook. 102 structured questions + 2 open-ended questions are included as the implementation baseline.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Question ID,Domain,Sub-Domain,Indicator,KPI,Question Text,Answer Type,Answer Options,Analytical Dim.,Target Group,Required/Optional,Used in MVP,Report Mapping,Notes,,,,,,,,,,,,
H11,Health,Mental Health,Service Awareness,% of households that know available psychosocial support channels,Do you know where to seek help if a household member needs psychological or social support?,Single select,Yes / No,Awareness,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H12,Health,Mental Health,Perceived Stigma,Perceived community stigma toward seeking psychological support,How comfortable are members of this community in seeking psychological support openly?,Likert-5,Very uncomfortable / Uncomfortable / Neutral / Comfortable / Very comfortable,Contextual,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H13,Health,Service Quality,Perceived Service Quality,% of households rating health service quality as adequate or higher,How do you rate the overall quality of health services available to this village?,Likert-5,Very poor / Poor / Fair / Good / Very good,Quality,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H14,Health,Service Quality,Medicine Availability,% of households reporting consistent availability of essential medicines,"When visiting the local health facility, are essential/prescribed medicines usually available?",Single select,Always / Usually / Rarely / Never,Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H15,Health,Service Quality,Affordability,% of households reporting healthcare cost as a barrier,"Did the cost of healthcare (consultation, medicine, transport) prevent this household from seeking needed care in the past year?",Single select,"Yes, often / Yes, sometimes / No",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H16,Health,Emergency Preparedness,Emergency Response Time,Perceived adequacy of emergency medical response time,"In a medical emergency, approximately how long does it take for help to arrive (ambulance/transfer to facility)?",Single select,Under 30 min / 30-60 min / 1-2 hours / Over 2 hours / No emergency service,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E01,Education,Access to Basic Education,School Enrolment,% of school-age children (6-15) currently enrolled,Are all school-age children (6-15) in this household currently enrolled in school?,Single select,"Yes, all / Some / None / No school-age children",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E02,Education,Access to Basic Education,School Proximity,Average distance to nearest primary school (km),Approximately how far is it from this household to the nearest primary school?,Numeric,Open numeric value (km),Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E03,Education,Access to Basic Education,Transport Safety,"% of households reporting safe, reliable transport to school","Do children in this household have safe, reliable transport to and from school?",Single select,Yes / Partially / No / Not applicable,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E04,Education,Access to Basic Education,Dropout Risk,% of households reporting a child dropping out in the past two years,Has any school-age child in this household stopped attending in the past two years?,Single select,Yes / No,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E05,Education,Access to Basic Education,Dropout Reasons,Most frequently cited reasons for school dropout,"If yes, what was the main reason for leaving school? (financial / distance / safety / early marriage / work / disability / other)",Single select,Financial / Distance / Safety / Early marriage / Work / Disability / Learning difficulty / Other,Diagnostic,Household/Village,Optional,Yes,Individual + Collective,,,,,,,,,,,,,
E06,Education,Education Equity,Gender Parity in Enrolment,Girls-to-boys enrolment ratio (school age),Are there school-age girls in this household not enrolled while boys of the same age are enrolled?,Single select,Yes / No / Not applicable,Equity,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E07,Education,Education Equity,Perceived Barriers for Girls,% of households perceiving specific barriers to girls' education,"What barriers, if any, do girls in this village face in continuing their education that boys do not?",Multi select,Distance/safety / Lack of female teachers / Early marriage / Domestic duties / Social customs / None,Equity,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E08,Education,Education Quality,Perceived Teaching Quality,% of parents satisfied with teaching quality at the local school,How satisfied are you with the quality of teaching at the school your children attend?,Likert-5,Very dissatisfied / Dissatisfied / Neutral / Satisfied / Very satisfied,Quality,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E09,Education,Education Quality,Teacher Availability,% of schools perceived to have adequate teaching staff,Does the local school have enough teachers to cover all subjects/grades?,Single select,Yes / Partially / No / Don't know,Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E10,Education,Education Quality,Learning Materials,% of households reporting children receive adequate books and materials,Do your children receive the books and learning materials they need for their grade level?,Single select,"Yes, fully / Partially / No",Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E11,Education,School Infrastructure,Facility Adequacy,"% of schools with adequate classrooms, water, and sanitation","Does the school your children attend have enough classrooms, clean water, and functioning toilets?",Single select,"Yes, all adequate / Some inadequate / Mostly inadequate / Don't know",Quality,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E12,Education,School Infrastructure,Digital Access,% of schools with functioning computers/internet for students,Does the school have functioning computers or internet available for student use?,Single select,Yes / No / Don't know,Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E13,Education,Vocational & Adult Education,Access to Vocational Programs,% of youth aware of and able to access vocational/technical training,Are vocational or technical training programs available and accessible to youth in this village?,Single select,"Yes, accessible / Exist but not accessible / None / Don't know",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
E14,Education,Vocational & Adult Education,Adult Literacy,% of adult individuals unable to read/write functionally,Are there adults in this household who are unable to read or write?,Single select,Yes / No,Equity,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W01,Water & Sanitation,Drinking Water Access,Access to a Safe Water Source,% of households reached by an improved drinking water source,What is the main source of drinking water for this household?,Single select,Piped to dwelling / Public tap / Protected well / Unprotected well / Surface water (river/pond) / Tanker/vendor / Other,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W02,Water & Sanitation,Drinking Water Access,Water Collection Time,Average round-trip water collection time (minutes),"How long does a round trip take to collect water from the main source, if not piped to the home?",Single select,Water on premises / Under 30 min / 30 min-1 hour / Over 1 hour,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W03,Water & Sanitation,Drinking Water Access,Water Supply Continuity,% of households reporting year-round water availability,"Is the main water source available continuously year-round, including the dry season?",Single select,"Yes, continuously / Seasonal shortage / Frequent shortage / Rarely available",Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W04,Water & Sanitation,Water Quality,Perceived Water Safety,% of households perceiving their drinking water as safe,Does this household consider its drinking water safe to drink without treatment?,Single select,"Yes / No, needs treatment / Don't know",Quality,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W05,Water & Sanitation,Water Quality,Water Treatment Practice,% of households practicing water treatment before drinking,"Does this household treat water (boiling, filtering, chlorination) before drinking?",Single select,Always / Sometimes / Never,Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W06,Water & Sanitation,Water Quality,Waterborne Illness Incidence,% of households reporting waterborne illness in the past 6 months,"Has any household member had an illness suspected to be linked to water quality in the past 6 months (e.g., diarrhea)?",Single select,Yes / No / Don't know,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W07,Water & Sanitation,Sanitation Access,Improved Sanitation Facility,% of households reached by improved sanitation facilities,What type of toilet facility does this household primarily use?,Single select,Flush/piped or septic / Pit with slab / Shared/public facility / Pit without slab / Open defecation,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W08,Water & Sanitation,Sanitation Access,Facility Privacy & Safety,"% of households reporting the toilet facility is private and safe, especially at night","Is this household's toilet facility private and safe to use, even at night?",Single select,Yes / Somewhat / No,Quality,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W09,Water & Sanitation,Hygiene & Waste Management,Handwashing Facility,% of households with a handwashing facility with water and soap,Does this household have a handwashing facility with both water and soap?,Single select,"Yes / Water only, no soap / No facility",Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W10,Water & Sanitation,Hygiene & Waste Management,Solid Waste Collection,% of villages with a regular solid waste collection service,Is there a regular waste collection service operating in this village?,Single select,"Yes, weekly or more / Yes, irregularly / No service",Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
W11,Water & Sanitation,Hygiene & Waste Management,Informal Waste Disposal,Primary waste disposal method in the absence of formal collection,"In the absence of formal collection, how does this household primarily dispose of its waste?",Diagnostic,Burning / Burying / Open dumping / Private collection / Other,Diagnostic,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
EN01,Energy & Environment,Electricity Access,Grid Connection,% of households connected to the national electricity grid,Is this household connected to the national electricity grid?,Single select,"Yes / No, uses an alternative source / No electricity access",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
EN02,Energy & Environment,Electricity Access,Service Reliability,Average daily hours of electricity outage,"On a typical day, how many hours is the electricity supply cut off?",Single select,No outage / Under 2 hours / 2-6 hours / Over 6 hours / No grid connection,Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
EN03,Energy & Environment,Electricity Access,Alternative Energy Use,% of households relying on alternative/off-grid energy sources,"If not grid-connected, what is the household's main energy source?",Single select,Solar / Generator / Gas / Wood/biomass / Other / Not applicable,Access,Household/Village,Optional,Yes,Individual + Collective,,,,,,,,,,,,,
EN04,Energy & Environment,Clean Cooking,Cooking Fuel Type,% of households using clean cooking fuel/technology,What is the primary fuel or technology this household uses for cooking?,Single select,Electricity/LPG/natural gas / Improved stove / Wood/charcoal/open fire / Other,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
EN05,Energy & Environment,Clean Cooking,Indoor Air Quality Concern,% of households reporting health concerns from cooking smoke,Do household members experience respiratory or eye irritation symptoms believed to be linked to cooking smoke?,Single select,"Yes, frequently / Sometimes / Never / Not applicable",Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
EN06,Energy & Environment,Environmental Quality,Water Scarcity Perception,% of households reporting seasonal water scarcity affecting farming/livestock,Does this household experience water scarcity affecting farming or livestock for part of the year?,Single select,"Yes, severe / Yes, moderate / No",Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
EN07,Energy & Environment,Environmental Quality,Land Degradation Perception,Perceived change in land/soil quality over 5 years,"Compared to 5 years ago, how would you describe the agricultural land/soil quality in this area?",Single select,Improved / Same / Degraded / Don't know,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
EN08,Energy & Environment,Environmental Quality,Natural Disaster Exposure,% of households affected by a natural disaster in 3 years,"Has this household been affected by a flood, drought, or other natural disaster in the past 3 years?",Single select,Yes / No,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
EN09,Energy & Environment,Environmental Awareness,Awareness of Protection Programs,% of households aware of locally available environmental or clean-energy programs,Are you aware of any environmental protection or clean-energy programs operating in or near this village?,Single select,Yes / No,Awareness,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
EN10,Energy & Environment,Environmental Awareness,Conservation Practice,% of households practicing any form of water/resource conservation,Does this household practice any form of water or resource conservation?,Single select,"Yes, regularly / Sometimes / No",Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L01,Livelihood,Employment & Income,Employment Status,% of working-age individuals (15-64) currently employed or self-employed,What is the current employment status of the main working-age household members?,Single select,Employed full-time / Self-employed / Employed part-time / Seeking work / Not seeking work / Unable to work,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L02,Livelihood,Employment & Income,Income Adequacy,% of households reporting income covers basic needs,"Does this household's income cover its basic needs (food, housing, health, education)?",Single select,Covers comfortably / Barely covers / Does not cover,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L03,Livelihood,Employment & Income,Income Stability,Stability/seasonality of the household's main income source year-round,How stable is the household's main income source throughout the year?,Single select,Stable year-round / Seasonal and predictable / Irregular/unpredictable,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L04,Livelihood,Employment & Income,Income Diversification,Number of distinct income sources the household relies on,How many distinct income sources does this household currently rely on?,Single select,Three or more / Two / One / None,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L05,Livelihood,Agriculture & Primary Production,Agricultural Dependence,% of households relying on farming/livestock as a primary livelihood,"Is farming, livestock, or fishing the primary livelihood for this household?",Single select,"Yes, primary / Yes, secondary / No",Diagnostic,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L06,Livelihood,Agriculture & Primary Production,Input & Market Access,"% of farming households reporting adequate access to inputs (seeds, feed, fertilizer) and markets",Does this household have adequate access to agricultural inputs and a market to sell its produce/livestock?,Single select,"Yes, both / Inputs only / Market only / Neither / Not applicable",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L07,Livelihood,Agriculture & Primary Production,Productivity Barrier,Most frequently cited barrier limiting agricultural productivity,What single biggest barrier limits this household's farming/livestock productivity?,Diagnostic,Water/irrigation / Land size / Input cost / Market access / Climate/weather / Lack of equipment / Lack of skills / Other,Diagnostic,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L08,Livelihood,Entrepreneurship,Business Ownership,% of households owning or operating a small or micro enterprise,Does this household currently own or operate a small business or micro enterprise?,Single select,Yes / No,Diagnostic,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L09,Livelihood,Entrepreneurship,Entrepreneurial Intent,% of non-owning households expressing intent to start a business,"If not currently operating a business, do members of this household wish to start one?",Single select,"Yes, with a clear idea / Yes, but no clear idea / No interest / Not applicable",Diagnostic,Household/Village,Optional,Yes,Individual + Collective,,,,,,,,,,,,,
L10,Livelihood,Entrepreneurship,Entrepreneurship Barriers,Most frequently cited barrier to starting/growing a business,What is the main barrier preventing this household from starting or growing a business?,Single select,Lack of capital / Lack of skills/training / Lack of market / Regulatory/licensing issues / Lack of guidance / Other,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L11,Livelihood,Entrepreneurship,Access to Finance,% of households reached by formal finance or micro-finance services,"Does this household have access to a bank account, micro-finance, or a formal loan when needed?",Single select,"Yes, easily / Yes, with difficulty / No access",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L12,Livelihood,Vocational Skills & Capacity,Vocational Skill Possession,% of working-age individuals holding a marketable vocational/technical skill,"Do working-age household members hold a marketable vocational or technical skill (e.g., carpentry, sewing, maintenance)?",Single select,Yes / No / Don't know,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L13,Livelihood,Vocational Skills & Capacity,Training Program Participation,% of working-age individuals who took part in a skills/training program in 2 years,Has any working-age household member participated in a vocational or skills training program in the past two years?,Single select,Yes / No,Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L14,Livelihood,Women's Economic Empowerment,Women's Labour Participation,"% of women in the household employed, self-employed, or actively seeking work","Are the women in this household employed, self-employed, or actively seeking paid work?",Single select,"Yes / No, by choice / No, due to barriers / Not applicable",Equity,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L15,Livelihood,Women's Economic Empowerment,Barriers to Women's Work,"Primary barrier to women's economic participation, where applicable","If women in this household face barriers to working, what is the primary barrier?",Single select,Childcare/domestic duties / Social/cultural customs / Lack of nearby opportunities / Transport / Lack of skills / Not applicable,Equity,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
L16,Livelihood,Women's Economic Empowerment,Control Over Income,Extent of women's control over the income they earn,"If women in this household earn income, do they have control over how it is spent or saved?",Single select,Full control / Joint decision / Limited control / Not applicable,Equity,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
I01,Infrastructure,Roads & Transport,Road Connectivity Quality,% of villages connected by a paved or all-season road,Is this village connected to the main road network by a paved or all-season road?,Single select,"Yes, paved / Yes, graded/unpaved but usable / No, often impassable",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
I02,Infrastructure,Roads & Transport,Public Transport Availability,% of households with access to regular public/shared transport,Is regular public or shared transport available connecting this village to nearby towns/cities?,Single select,"Yes, daily / Yes, limited schedule / No regular service",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
I03,Infrastructure,Roads & Transport,Seasonal Accessibility,% of the year the village is fully accessible by road,"Are there times of year (e.g., rainy season) when this village becomes difficult or impossible to reach by road?",Single select,Always accessible / Sometimes difficult / Frequently inaccessible,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
I04,Infrastructure,Communications & Digital Connectivity,Mobile Network Coverage,% of households with reliable mobile network coverage,Is mobile network coverage reliable at this household's location?,Single select,"Yes, strong signal / Weak/intermittent signal / No coverage",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
I05,Infrastructure,Communications & Digital Connectivity,Internet Access,% of households with functional internet access (mobile data or fixed line),"Does this household have functional internet access, via mobile data or a fixed connection?",Single select,"Yes, reliable / Yes, but unreliable/slow / No access",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
I06,Infrastructure,Communications & Digital Connectivity,Digital Literacy,% of household members able to use a smartphone/internet for basic tasks,"Can members of this household use a smartphone or internet for basic tasks (messaging, browsing, mobile banking)?",Single select,"Yes, most members / Some members / None",Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
I07,Infrastructure,Housing & Built Environment,Housing Adequacy,% of households living in structurally adequate housing,"Is the household's dwelling structurally adequate (solid roof, walls, weather protection)?",Single select,"Yes, fully adequate / Partially adequate / Inadequate",Quality,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
I08,Infrastructure,Housing & Built Environment,Overcrowding,Average number of persons per room in the household,"On average, how many persons share each room used for sleeping in this household?",Numeric,Open numeric value (persons/room),Quality,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
I09,Infrastructure,Public & Community Facilities,Market Access,% of households within a reasonable distance of a functioning market,Is there a functioning market (to buy and sell) within a reasonable distance of this village?,Single select,"Yes, within the village / Yes, nearby (under 10 km) / No, distant (over 10 km)",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
I10,Infrastructure,Public & Community Facilities,Community Gathering Space,Availability of a functioning community center or public gathering space,"Does this village have a functioning community center, public square, or gathering space?",Single select,"Yes, in good condition / Yes, in poor condition / No",Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S01,Social Development,Social Safety,Perceived Personal Safety,"% of households feeling safe in their village, day and night","How safe do members of this household feel walking in this village, day and night?",Likert-5,Very unsafe / Unsafe / Neutral / Safe / Very safe,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S02,Social Development,Social Safety,Social Safety Net Access,% of vulnerable households reached by social protection programs,Does this household currently receive support from any social protection or social welfare program?,Single select,"Yes / No, but eligible / No, not eligible / Don't know eligibility",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S03,Social Development,Vulnerable Groups,Elderly Care Access,% of elderly household members with access to adequate care/support,"Do elderly members of this household have access to adequate care, support, or social services?",Single select,Yes / Partially / No / Not applicable,Equity,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S04,Social Development,Vulnerable Groups,Disability Inclusion,% of village public facilities accessible to persons with disabilities,"Are public facilities in this village (schools, health centers, public buildings) accessible to persons with disabilities?",Single select,"Yes, most / Partially / Not accessible / No persons with disabilities in household",Equity,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S05,Social Development,Vulnerable Groups,Disability in the Household,% of households with a member whose disability affects daily activities,Does any member of this household have a disability that affects their daily activities?,Single select,Yes / No,Diagnostic,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S06,Social Development,Child & Youth Protection,Child Protection Awareness,% of households that know how to report child abuse or neglect,Do you know how or where to report a case of child abuse or neglect in this area?,Single select,Yes / No,Awareness,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S07,Social Development,Child & Youth Protection,Youth Civic Engagement,% of youth (15-24) participating in community or voluntary activities,"Are youth (15-24) in this household engaged in any community, voluntary, or civic activities?",Single select,"Yes, actively / Sometimes / Not engaged",Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S08,Social Development,Child & Youth Protection,Early Marriage Prevalence,% of households where a member married before age 18,Has any member of this household married before age 18?,Single select,Yes / No / Prefer not to answer,Equity,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S09,Social Development,Social Cohesion,Sense of Community Belonging,% of households reporting a strong sense of belonging/trust within the village,How strong is your household's sense of belonging and trust within this village community?,Likert-5,Very weak / Weak / Moderate / Strong / Very strong,Contextual,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S10,Social Development,Social Cohesion,Conflict Incidence,% of households reporting an unresolved community or land/resource dispute in the past year,Has this household been involved in or affected by an unresolved community or land/resource dispute in the past year?,Single select,Yes / No,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
S11,Social Development,Social Cohesion,Collective Action Capacity,% of villages with an active community group/committee addressing local issues,"Is there an active community group, council, or committee in this village addressing local needs?",Single select,"Yes, active / Exists but inactive / None",Contextual,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
CU01,Culture,Cultural Heritage,Heritage Asset Presence,% of villages with identifiable tangible or intangible heritage assets,"Does this village have cultural heritage sites, crafts, or traditions being actively recognized or preserved?",Single select,"Yes, actively preserved / Exist but undocumented/at risk / None identified",Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
CU02,Culture,Cultural Heritage,Heritage Risk Status,Perceived risk of loss/decline of local cultural practices or sites,"Do you feel that local traditions, crafts, or heritage sites are at risk of disappearing in the next generation?",Single select,High risk / Some risk / Low risk / Don't know,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
CU03,Culture,Cultural Programs & Participation,Program Availability,"% of households aware of locally available cultural, arts, or heritage programs","Are any cultural, arts, or heritage programs/events available in or near this village?",Single select,Yes / No / Don't know,Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
CU04,Culture,Cultural Programs & Participation,Participation Rate,% of households that took part in a local cultural or heritage activity in the past year,"Has any member of this household participated in a local cultural, heritage, or arts activity in the past 12 months?",Single select,Yes / No,Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
CU05,Culture,Community Identity,Sense of Cultural Pride,% of households expressing pride in local cultural identity/heritage,How proud are members of this household of the cultural identity and heritage of this village?,Likert-5,Not proud at all / Slightly proud / Moderately proud / Proud / Very proud,Contextual,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
CU06,Culture,Community Identity,Intergenerational Knowledge Transfer,% of households actively passing traditional skills/knowledge to younger generations,"Are traditional skills, crafts, or knowledge being actively taught to younger generations in this household/community?",Single select,"Yes, actively / Somewhat / Not happening",Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
G01,Governance & Services,Access to Government Services,Service Center Accessibility,% of households reporting easy access to government service centers,"How easy is it for this household to reach government service centers (civil registry, licensing, etc.) when needed?",Likert-5,Very difficult / Difficult / Fair / Easy / Very easy,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
G02,Governance & Services,Access to Government Services,Civil Documentation Coverage,"% of household members holding complete civil documents (ID, birth registration)","Do all members of this household hold complete civil documents (national ID, birth certificate, etc.)?",Single select,"Yes, all / Some missing / Don't know",Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
G03,Governance & Services,Digital Government,E-Service Usage,% of households that used at least one e-government service in 6 months,"Has this household used any digital/e-government service (e.g., online applications, digital identity platforms) in the past 6 months?",Single select,"Yes / No, but aware / No, unaware of options",Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
G04,Governance & Services,Digital Government,Digital Service Satisfaction,% of households satisfied with the e-government services they used,"If used, how satisfied are you with the e-government service experience?",Likert-5,Very dissatisfied / Dissatisfied / Neutral / Satisfied / Very satisfied / Not applicable,Quality,Household/Village,Optional,Yes,Individual + Collective,,,,,,,,,,,,,
G05,Governance & Services,Community Participation,Participation in Local Governance,"% of adults participating in any local committee, council, or association","Do adults in this household participate in any local committee, council, or association?",Single select,"Yes, actively / Sometimes / No",Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
